锂电池型号,电芯品牌,电压(V),容量(Ah),尺寸(mm),总重量(kg),模组串并联方式,适用叉车型号,单体电芯容量(Ah),模组配置(串S并P联）,对应铅酸电池电压(V),含配重(kg),电池详情,长(mm),宽(mm),高(mm),锂电池型号编码,电芯品牌编码
F36560AH,瑞浦,38.4,560.0,970x450x780,990.0,N/A,N/A,280,12S2P,36,730,型号：F36560AH叉车项目： 电芯：瑞浦280Ah ，组合方式：12S2P 电压：38.4V 容量：560Ah 电量：21.504KWh（箱体最大尺寸：970 x 450x 780mm）带配重，铁块重量730kg，总重量：990KG，BMS-自研，带加热功能，带4G模块。,970.0,450.0,780.0,405,1
F24280G,瑞浦,25.6,280.0,827x486x627,657.0,N/A,N/A,280,8S1P,24,-,型号：F24280G叉车项目： 电芯：瑞浦280Ah 组合方式：8S1P 电压：25.6V 容量：280Ah 电量：7.168KWh。（带配重，总重量：657KG，箱体尺寸：827 x 486x 627mm）BMS-自研,827.0,486.0,627.0,203,1
F36690BT,瑞浦,38.4,690.0,970x571x749,1454.0,N/A,Toyota SR1-HPT50,230,12S3P,36,1160,型号：F36690BT叉车项目： 电芯：瑞浦230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：970*571*749mm）配重1160KG，总重量1454KG，带加热功能，带4G模块，BMS-自研。（叉车型号：Toyota  SR1-HPT50； 充电插头：适配SPE充电器）,970.0,571.0,749.0,523,1
F801120A,瑞浦,83.2,1120.0,1235x1034x875,2950.0,N/A,Bulmor EQ 80-14-54 T,280,26S4P,80,1972,型号：F801120A叉车项目： 电芯：瑞浦280Ah 组合方式：26S4P 电压：83.2V 容量：1120Ah 电量：93.184KWh。（箱体尺寸1235*1034*875mm）配重：1972KG，总重量：2950KG，带4G模块功能，带加热功能，BMS-自研。（叉车型号：Bulmor EQ 80-14-54 T）,1235.0,1034.0,875.0,1332,1
F36840N,瑞浦,38.4,840.0,970x510x775,1250.0,N/A,Crown RMD6095S-32,280,12S3P,36,912,"型号：F36840N叉车项目： 电芯：瑞浦280Ah ,组合方式：12S3P 电压：38.4V 容量：840Ah 电量：32.256KWh（箱体最大尺寸：970*510*775mm）配重912KG，总重量：1250kg，带4G模块，带加热功能，BMS-自研。（叉车型号：Crown RMD6095S-32）",970.0,510.0,775.0,605,1
F48690BJ-A,瑞浦,51.2,690.0,970x832x572,1451.0,N/A,Yale MPE080G,230,16S3P,48,1018,型号：F48690BJ-A叉车项目： 电芯：瑞浦230Ah ，组合方式：16S3P ，电压：51.2V ，容量：690Ah， 电量：35.328KWh，箱体尺寸：970*832*572mm，配重：1018KG，总重量：1451kg，不带加热功能，不带4G模块，放电插头：SB175 Gray，BMS-自研。（叉车型号：YALE MPE080G）,970.0,832.0,572.0,1222,1
F48420CA,EVE,51.2,420.0,970x630x572,1181.0,N/A,N/A,105,16S4P,48,795,型号：F48420CA叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：970x630x572mm）带配重，铁块重量：795KG，总重量：1181KG，带4G模块，带加热功能，BMS-自研。（需要UL认证）,970.0,630.0,572.0,805,0
F24690D,瑞浦,25.6,690.0,892x322x772,762.0,N/A,N/A,230,8S3P,24,538,型号：F24690D 叉车项目： 电芯：瑞浦230Ah 组合方式：8S3P 电压：25.6V 容量：690Ah 电量：17.664KWh。（箱体尺寸：892 x 322 x 772mm)  带配重，铁块重量538kg，总重量：762kg， BMS-自研，带4G模块，带加热功能。,892.0,322.0,772.0,370,1
F36628C-A,瑞浦,38.4,628.0,960x455x775,1050.0,N/A,Yale MPE060G,314,12S2P,36,773,"型号：F36628C-A叉车项目； 电芯：瑞浦314 ，组合方式：12S2P； 电压：38.4V； 容量：628Ah； 电量：24.115KWh，箱体尺寸：960*455*775mm，配重773KG，总重1050KG，不带加热和4G模块 ，放电插头：SB350,BMS-自研。（叉车型号：YALE MPE060G）",960.0,455.0,775.0,476,1
F48690BL,瑞浦,51.2,690.0,970x520x749,1315.0,N/A,Hyster E45-60XN,230,16S3P,48,905,型号：F48690BL叉车项目： 电芯：瑞浦230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：970*520*749mm）配重905KG，总重量：1315kg，带加热功能，带4G模块，BMS-自研。（叉车型号：Hyster E45-60XN；充电器：Ecotec Charger）,970.0,520.0,749.0,1224,1
F48690A,EVE,51.2,690.0,965x830x558,,N/A,N/A,230,16S3P,48,-,型号：F48690A叉车项目： 电芯：EVE230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：965*830*558mm）,965.0,830.0,558.0,1186,0
F48460BA,EVE,51.2,460.0,1003x546x686,455.0,N/A,N/A,230,16S2P,48,265,型号：F48460BA叉车项目： 电芯：EVE230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh（箱体尺寸：1003*546*686mm）带配重，铁块重量：265KG，总重量：455KG；带加热功能，带4G模块，BMS-自研。,1003.0,546.0,686.0,884,0
F24314C-A,瑞浦,25.6,314.0,624x284x627,300.0,N/A,Yale MS16XIL,314,8S1P,24,208,"型号：F24314C-A叉车项目； 电芯：瑞浦314； 组合方式：8S1P； 电压：25.6V； 容量：314Ah； 电量：8.038KWh，尺寸：624*284*627mm，总重量：300kg，配重208KGBMS-自研。（在F24314C的基础上，显示屏更改为小语种款S4855SC-D(H03-0241), 其余不变）叉车型号：Yale MS16XIL",624.0,284.0,627.0,240,1
F48460FC,瑞浦,51.2,460.0,830x630x592,813.0,N/A,Yale ERP16VF MWB,230,16S2P,48,549,"型号：F48460FC叉车项目： 电芯：瑞浦230Ah ，组合方式：16S2P， 电压：51.2V ，容量：460Ah， 电量：23.552KWh，箱体尺寸：830*630*592mm，配重549KG，总重量813KG（在F48460CB的基础上，显示屏更改为小语种款S4855SC-D(H03-0241), 其余不变）叉车型号：Yale ERP16VF MWB",830.0,630.0,592.0,973,1
F24320A,EVE,25.6,320.0,998x210x765,330.0,N/A,N/A,160,8S2P,24,180,型号：F24320A叉车项目： 电芯：EVELF160 组合方式：8S2P 电压：25.6V 容量：320Ah 电量：8.192KWh（998×210×765mm）带配重，铁块重量180kg，总重量330kg，带加热功能，带4G模块，BMS-自研。,998.0,210.0,765.0,266,0
F48690BI,瑞浦,51.2,690.0,1117x990x571,1633.0,N/A,Hyster E100XN,230,16S3P,48,1322,"型号：F48690BI叉车项目： 电芯：瑞浦230Ah ，组合方式：16S3P 电压：51.2V 容量：690Ah 电量：35.328KWh（箱体尺寸：1117*990*571mm）配重：1322KG，，总重量：1633kg，带加热功能，带4G模块，BMS-自研。（充电器：ecotec 方案；

叉车型号：Hyster E 100XN ）",1117.0,990.0,571.0,1220,1
F48420AJ-A,EVE,51.2,420.0,1140x400x570,700.0,N/A,N/A,105,16S4P,48,448,型号：F48420AJ-A叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（1140x400x570mm）带配重，铁块重量448KG，总重量：700kg，自研BMS，带4G模块，带加热功能 。,1140.0,400.0,570.0,764,0
F24160D,EVE,25.6,160.0,635x180x540,,N/A,N/A,80,8S2P,24,-,型号：F24160D叉车项目： 电芯：EVELF80 组合方式：8S2P 电压：25.6V 容量：160Ah 电量：4.096KWh（635*180*540mm）,635.0,180.0,540.0,72,0
F48560V-A,瑞浦,51.2,560.0,1223x427x784,1150.0,N/A,Paletrans P20t,280,16S2P,48,805,型号：F48560V-A叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：1223*427*784mm) 带配重805KG，总重量1150KG， 不带加热，不带4G，放电插头为：SB350 GRAY。叉车型号（Paletrans P20t）,1223.0,427.0,784.0,1139,1
F80690E,EVE,80.0,690.0,1009x831x749,1928.0,N/A,N/A,230,25S3P,80,1329,型号：F80690E叉车项目： 电芯：EVE230Ah ，组合方式：25S3P 电压：80V 容量：690Ah 电量：55.2KWh（箱体尺寸：1009*831*749mm）(带配重，配重重量：1329kg）总重量：1928KG，带加热功能，带4G模块，自研BMS，,1009.0,831.0,749.0,1491,0
F80560L-A,瑞浦,80.0,560.0,1028x855x784,1863.0,N/A,TCM FHB35-F2,280,25S2P,80,1383,型号：F80560L-A叉车项目： 电芯：瑞浦280Ah ，组合方式：25S2P 电压：80V 容量：560Ah 电量：44.8KWh（箱体最大尺寸： 1028*855*784mm）总重量：1863kg，铁块重量：1383KG，带加热功能，带4G模块，自研BMS。（叉车型号：TCM FHB35-F2）,1028.0,855.0,784.0,1445,1
F24210AI,EVE,25.6,210.0,786x210x630,295.0,N/A,N/A,105,8S2P,24,207,"型号：F24210AI叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（786*210*630mm），配重：207kg，总重量295kg。带加热，带4G模块,自研BMS。",786.0,210.0,630.0,107,0
F48560BE,瑞浦,51.2,560.0,1035x543x787,969.0,N/A,N/A,280,16S2P,48,624,型号：F48560BE 叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.672KWh。（箱体尺寸： 1035x543x787mm) 带配重，铁块重量：624kg 总重量：969kg，带4G模块，带加热，BMS-自研。,1035.0,543.0,787.0,1037,1
F24105F,EVE,25.6,105.0,610x200x610,,N/A,N/A,105,8S1P,24,-,"型号：F24105F,叉车项目： 电芯：EVELF105 组合方式：8S1P 电压：25.6V 容量：105Ah 电量：2.688KWh（尺寸：610 x 200 x 610 mm）",610.0,200.0,610.0,38,0
F80314F,瑞浦,80.0,314.0,1028x711x697,1560.0,N/A,Doosan B25X-7,314,25S1P,80,-,型号：F80314F叉车项目； 电芯：瑞浦314Ah， 组合方式：25S1P， 电压：80V， 容量：314Ah ，电量：25.12KWh，箱体尺寸：1028*711*697mm，总重量：1560KG，带4G， 带加热 ， 放电插头Anderson SBE320 Black，自研BMS。（叉车型号：Doosan B25X-7）,1028.0,711.0,697.0,1348,1
F72280A-B,EVE,76.8,280.0,920x550x375,,N/A,N/A,280,24S1P,72,-,型号：F72280A-B叉车项目： 电芯：EVE280Ah ，组合方式：24S1P 电压：76.8V 容量：280Ah 电量：21.504KWh（箱体尺寸：920*550*375mm）(箱体与F72280A-A不一致，其他一致，客户指定通讯协议）,920.0,550.0,375.0,1303,0
F24280AD,瑞浦,25.6,280.0,624x284x627,220.0,N/A,Bobcat BSL14S-7,280,8S1P,24,130,型号：F24280AD叉车项目； 电芯：瑞浦280Ah； 组合方式：8S1P ；电压：25.6V； 容量：280Ah； 电量：7.168KWh，配重重量130kg，总重量：220KG，箱体尺寸：624x 284x 627mm，带加热功能，带4G模块；放电插头Rema 80 公头；BMS-自研。（叉车型号：Botcat BSL14S-7）,624.0,284.0,627.0,192,1
F48560BI,瑞浦,51.2,560.0,1030x796x533,1150.0,N/A,N/A,280,16S2P,48,734,型号：F48560BI叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：1030*796*533mm) 带配重，铁块重量：734KG，总重量：1150KG，带加热功能，带4G模块，BMS-自研。,1030.0,796.0,533.0,1040,1
F48314R-A,瑞浦,51.2,314.0,1223x283x784,750.0,N/A,Yale MR16,314,16S1P,48,544,"型号：F48314R-A叉车项目： 电芯：瑞浦314； 组合方式：16S1P， 电压：51.2V ，容量：314Ah， 电量：16.077KWh,箱体尺寸：1223*283*784mm,配重544KG，总重量750KG；BMS-自研。（在F48314R的基础上，显示屏更改为小语种款S4855SC-D(H03-0241), 其余不变）叉车型号：Yale MR 16",1223.0,283.0,784.0,698,1
F24210P,EVE,25.6,210.0,560x180x510,,N/A,N/A,105,8S2P,24,0,型号：F24210P叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh（560*180*510mm）不带配重。带加热，带4G模块，自研BMS,560.0,180.0,510.0,144,0
F24690B,瑞浦,25.6,690.0,915x355x774,,N/A,N/A,230,8S3P,24,548,型号：F24690B 叉车项目： 电芯：瑞浦230Ah 组合方式：8S3P 电压：25.6V 容量：690Ah 电量：17.664KWh。（箱体尺寸：915x355x774mm，)  带配重，铁块重量548kg， BMS-自研，带4G模块，带加热功能,915.0,355.0,774.0,368,1
F80560B,瑞浦,80.0,560.0,1028x855x784,,N/A,N/A,280,25S2P,80,1863,"型号：F80560B叉车项目： 电芯：瑞浦280Ah ，组合方式：25S2P 电压：80V 容量：560Ah 电量：44.8KWh（箱体最大尺寸： 1028x855x784 mm）带配重1863KG,，放电插头型号：Rema 320母头。",1028.0,855.0,784.0,1434,1
F48460K,EVE,51.2,460.0,830x630x627,,N/A,N/A,230,16S2P,48,585,型号：F48460K叉车项目： 电芯：EVE230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.552KWh（箱体尺寸：830*630*627mm）带配重，配重方式：铁板；配重重量：585KG；放电插头型号：Rema 160母头，BMS-自研。,830.0,630.0,627.0,983,0
F80690F,瑞浦,80.0,690.0,1024x850x625,1458.0,N/A,N/A,230,25S3P,80,863,型号：F80690F叉车项目： 电芯：瑞浦230Ah ，组合方式：25S3P 电压：80V 容量：690Ah 电量：55.2KWh（箱体尺寸：1024*850*625mm）总重量：1458KG，带配重，铁块重量：863KG，带加热功能，带4G模块，BMS-自研。,1024.0,850.0,625.0,1492,1
F48420V,EVE,51.2,420.0,982x632x642,1054.0,N/A,N/A,105,16S4P,48,-,型号：F48420V叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：982x632x642mm）带配重，总重量1054KG,982.0,632.0,642.0,850,0
F36460L,瑞浦,38.4,460.0,800x350x600,215.0,N/A,Yale TU01,230,12S2P,36,-,型号：F36460L叉车项目： 电芯：瑞浦LF230Ah ，组合方式：12S2P ；电压：38.4V ；容量：460Ah ；电量：17.664KWh，箱体尺寸：800*350*600mm，重量215KG，带4G模块，带加热功能，充电口带防尘盖，放电口: Rema 160A 母头，充电口: Rema 320A 公头，BMS-自研。（叉车型号：yale tu01）,800.0,350.0,600.0,395,1
F24200N,瑞浦,25.6,200.0,710x208x660,250.0,N/A,Hyster W45,100,8S2P,24,150,型号：F24200N叉车项目： 电芯：瑞浦100Ah， 组合方式：8S2P， 电压：25.6V， 容量：200Ah， 电量：5.12KWh，箱体尺寸：710*208*660mm，配重150KG，总重量：250KG，带加热，带4G，放电插头：SB175 Red，充电插头：美规插头，BMS-自研。（叉车型号：Hyster W45）,710.0,208.0,660.0,96,1
F36840L-A,瑞浦,38.4,840.0,971x510x762,1224.0,N/A,N/A,280,12S3P,36,800,"型号：F36840L-A叉车项目： 电芯：瑞浦280Ah ,组合方式：12S3P 电压：38.4V 容量：840Ah 电量：32.256KWh（箱体最大尺寸：971*510*762mm）配重800KG，总重量：1224kg，带4G模块，带加热功能，BMS-自研。（屏幕线长10m）",971.0,510.0,762.0,603,1
F36690CG,瑞浦,38.4,690.0,970x520x571,816.5,N/A,Hyster J30XN,230,12S3P,36,495,"型号：F36690CG叉车项目；电芯：瑞浦230Ah ，组合方式：12S3P； 电压：38.4V； 容量：690Ah； 电量：26.496KWh（箱体尺寸：970*520*571mm）配重495KG，总重816.5KG，带加热功能, 加顶盖，带4G模块；BMS-自研。（叉车型号：Hyster J30XN）",970.0,520.0,571.0,537,1
F80460AV,瑞浦,80.0,460.0,1028x711x784,1558.0,N/A,CAT EP25ACN-SP,230,25S2P,80,1064,"型号：F80460AV车项目： 电芯：瑞浦230Ah ，组合方式：25S2P, 电压：80V ,容量：460Ah ,电量：36.8KWh,箱体尺寸：1028*711*784mm，配重1064KG，总重量1558KG，自研BMS。（在F80460G的基础上更改显示屏为S4855SC-D(H03-0241)，其余参数不变 (只要不影响外观结构及充放电参数等，可做其余变更)）叉车型号：CAT EP25ACN-SP",1028.0,711.0,784.0,1403,1
F24400D,瑞浦,25.6,400.0,727x280x669,315.0,N/A,Mitsubishi PBV20N3,100,8S4P,24,-,"型号：F24400D叉车项目： 电芯：瑞浦100A， 组合方式：8S4P， 电压：25.6V， 容量：400Ah ，电量：10.24KWh（727*280*669mm），总重量：315KG，带加热功能，带4G模块，带BDI显示屏，带RoyPow LOGO，放电接头为Rema 160A Female，带提手, 放电线长为0.4M,SOC显示屏线长3M；BMS-自研。（叉车型号：三菱PBV20N3）",727.0,280.0,669.0,281,1
F24314P,瑞浦,25.6,314.0,774x332x762,459.0,N/A,Yale MO60/ MPR080VG,314,8S1P,24,333,型号：F24314P叉车项目； 电芯：瑞浦314； 组合方式：8S1P； 电压：25.6V； 容量：314Ah； 电量：8.0384KWh，箱体尺寸：774*332*762mm；配重：333KG，总重量：459KG，带加热功能，带4G模块，加顶盖， 放电插头：Anderson SB175 Red，充电头：Anderson Euro 320A-Female A系列  (与Ecotech适配通讯)，BMS-自研。（叉车型号：Yale MO60/ MPR080VG）,774.0,332.0,762.0,249,1
F80690AK,瑞浦,80.0,690.0,1020x980x760,2070.0,N/A,Hyster J4.5XN,230,25S3P,80,1731,"型号：F80690AK叉车项目： 电芯：亿纬230Ah ，组合方式：25S3P ，电压：80V， 容量：690Ah ，电量：55.2KWh，箱体尺寸：1020*980*760mm，配重:1731KG，总重量2070KG，不带加热，带4G，放电接头为Rema 320A,自研BMS。（叉车型号：Hyster J4.5XN）",1020.0,980.0,760.0,1481,1
F24130B,瑞浦,25.6,130.0,651x150x570,120.0,N/A,CESAB P214,65,8S2P,24,-,"型号：F24130B叉车项目; 电芯：瑞浦65Ah ，组合方式：8S2P, 电压：25.6V ,容量：130Ah ,电量：3.32KWh，箱体尺寸：651*150*570mm，重量:＞120 kg ＜175kg，不带加热，带4G，放电接口：Rema 80A,自研BMS。（叉车型号：CESAB P214）",651.0,150.0,570.0,43,1
F36690AR,EVE,38.4,690.0,889x673x571,907.0,N/A,N/A,230,12S3P,36,622.4,"型号：F36690AR叉车项目： 电芯：EVE230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：889*673*571mm）,（带配重，铁块重量：622.4kg,总重量：907kg）带4G模块，带加热功能，自研BMS。",889.0,673.0,571.0,498,0
F48560AG,瑞浦,51.2,560.0,900x425x570,,N/A,N/A,280,16S2P,48,0,型号：F48560AG 叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸： 900*425*570mm) 不带配重，BMS-自研，带4G模块,900.0,425.0,570.0,1009,1
F24100R,瑞浦,25.6,100.0,624x212x627,230.0,N/A,N/A,100,8S1P,24,175,型号：F24100R叉车项目： 电芯：瑞浦50Ah 组合方式：8S1P 电压：25.6V 容量：100Ah 电量：2.56KWh（624*212*627mm）配重175KG，总重量：230KG，带加热功能，带4G功能，自研BMS。,624.0,212.0,627.0,27,1
F90690A,EVE,89.6,690.0,1028x708x632,1210.0,N/A,N/A,230,28S3P,90,483,型号：F90690A叉车项目： 电芯：EVELF230 组合方式：28S3P 电压：89.6V 容量：690Ah 电量：61.824KWh（电池尺寸：1028*708*632mm）（带配重，铁块重量：483KG）总重量：1210kg，带4G模块，带加热，BMS-自研。,1028.0,708.0,632.0,1541,0
F1441570A(A&B箱),瑞浦,144.0,1570.0,2097x814x826,7500.0,N/A,Crown A200X,314,45S5P,144,-,型号：F1441570A叉车项目： 电芯：瑞浦314Ah ，组合方式：45S5P ，电压：144V ，容量：1570Ah ，电量：226.08KWh，A、B箱体各尺寸：2097*814*826mm，重量：7500KG，带加热功能，带4G功能，充电头：REMA 640A，自研BMS。（叉车型号：Crown A200X）,2097.0,814.0,826.0,1,1
F48314F,瑞浦,51.2,314.0,1032x350x769,731.0,N/A,Manitou ER14,314,16S1P,48,511,型号：F48314F叉车项目： 电芯：瑞浦314； 组合方式：16S1P， 电压：51.2V ，容量：314Ah， 电量：16.0768KWh（1032*350*769mm）配重511KG，总重量731KG；带加热功能，带4G模块，放电接口Rema 320A Female，BMS-自研。（叉车型号：manitou ER14）,1032.0,350.0,769.0,692,1
F48460CF,瑞浦,51.2,460.0,990x545x320,222.0,N/A,Toyota 8FBN20,230,16S2P,48,-,型号：F48460CF叉车项目： 电芯：瑞浦230Ah ，组合方式：16S2P 电压：51.2V 容量：460Ah 电量：23.556KWh（箱体尺寸：990*545*320mm）总重量222KG，带4G模块，带加热功能，BMS-自研。（叉车型号：TOYOTA 8FBN20）,990.0,545.0,320.0,916,1
F24460L,瑞浦,25.6,460.0,790x350x790,420.0,N/A,N/A,230,8S2P,24,288,型号：F24460L叉车项目： 电芯：瑞浦230 组合方式：8S2P 电压：25.6V 容量：460Ah 电量：11.776KWh（790x350x790mm），配重288KG，总重量420KG，带加热功能，带4G模块，BMS-自研。,790.0,350.0,790.0,324,1
F24230AC,瑞浦,25.6,230.0,600x220x500,69.0,N/A,PTBStacker,230,8S1P,24,0,型号：F24230AC叉车项目; 电芯：瑞浦230Ah ，组合方式：8S1P； 电压：25.6V； 容量：230Ah； 电量：5.888KWh（箱体尺寸：600*220*500mm）不带配重；总重量：69KG，带4G模块，带加热，放电插头： Rema 160 Amp（母头）；自研BMS。（叉车型号：PTBStacker）,600.0,220.0,500.0,160,1
F80314A,瑞浦,80.0,314.0,912x630x510,280.0,N/A,N/A,314,25S1P,80,-,型号：F80314A叉车项目； 电芯：瑞浦314Ah， 组合方式：25S1P， 电压：80V， 容量：314Ah ，电量：25.12KWh（尺寸：912*630*510mm）总重量：280KG，带4G， 不带加热  显示屏线长5M ，放电插头:  REMA 320，自研BMS。（叉车型号：ZGZG）,912.0,630.0,510.0,1345,1
F48690BD-B,瑞浦,51.2,690.0,970x832x572,1451.0,N/A,N/A,230,16S3P,48,1072,型号：F48690BD-B叉车项目： 电芯：瑞浦230Ah ，组合方式：16S3P， 电压：51.2V ，容量：690Ah ，电量：35.328KWh，箱体尺寸：970*832*572mm，带配重1072kg，总重量：1451KG，带加热功能，带4G模块，BMS-自研。（电池和原F48690BD结构相同，仅取消充电通讯，其他不变。）,970.0,832.0,572.0,1215,1
F80690B,EVE,80.0,690.0,1143x1130x517.5,1909.0,N/A,N/A,230,25S3P,80,1342,型号：F80690B叉车项目： 电芯：EVE230Ah ，组合方式：25S3P 电压：80V 容量：690Ah 电量：55.2KWh（箱体尺寸：1143*1130*517.5mm）(带配重，配重重量：1342kg）总重量：1909KG，带加热功能，带4G模块，自研BMS。,1143.0,1130.0,517.5,1484,0
F36690CF,瑞浦,38.4,690.0,978x685x571,1115.0,N/A,Unicarriers BXC50N,230,12S3P,36,765,型号：F36690CF叉车项目； 电芯：瑞浦230Ah ，组合方式：12S3P； 电压：38.4V； 容量：690Ah； 电量：26.496KWh（箱体尺寸：978*685*571mm）配重765KG，总重1115KG4，带加热和4G模块 ，BMS-自研。（叉车型号：Unicarriers BXC50N）,978.0,685.0,571.0,536,1
F36912A,EVE,38.4,912.0,978x571x757,1415.0,N/A,N/A,304,12S3P,36,979,型号：F36912A叉车项目： 电芯：EVE304Ah ，组合方式：12S3P 电压：38.4V 容量：912Ah 电量：38.256KWh（箱体最大尺寸：978*571*757mm）配重979KG，总重量：1415KG，带加热功能，带4G模块，BMS-自研。,978.0,571.0,757.0,613,0
F48560DC,瑞浦,51.2,560.0,970x831x571.5,1363.6,N/A,Doosan BC305-7,280,16S2P,48,1013,型号：F48560DC叉车项目； 电芯：瑞浦LF280Ah； 组合方式：16S2P ；电压：51.2V ；容量：560Ah ；电量：28.672KWh。（箱体尺寸：970*831*571.5mm) ，总重量1363.6KG，配重1013KG， 带４G模块，带加热功能，放电插头：SB350 Gray，充电插头：Anderson Euro 320A female(A 系列)，充电器：Power Designers。（叉车型号：Doosan BC-305-7）,970.0,831.0,571.5,1082,1
F48420R-B,EVE,51.2,420.0,950x365x570,,N/A,N/A,105,16S4P,48,0,型号：F48420R-B叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh（箱体尺寸：950*365*570mm）不带配重，自研BMS，4G物理卡；产品无需logo,950.0,365.0,570.0,847,0
F48840B,瑞浦,51.2,840.0,1116x622x685,,N/A,N/A,280,16S3P,48,-,"型号：F48840B叉车项目： 电芯：瑞浦280Ah 组合方式：16S3P 电压：51.2V 容量：840Ah 电量：43.008KWh。（带配重，箱体尺寸：L: 1,116 *W: 622 *H: 685 mm）BMS-自研。",1116.0,622.0,685.0,1283,1
F48280A,EVE,51.2,280.0,-,,N/A,N/A,280,16S1P,48,-,型号：F48280A叉车项目： 电芯：EVELF280 组合方式：16S1P 电压：51.2V 容量：560Ah 电量：14.336KWh。,,,,646,0
F90460B,EVE,89.6,460.0,-,,N/A,N/A,230,28S2P,90,722,型号：F90460B叉车项目： 电芯：EVELF230 组合方式：28S2P 电压：89.6V 容量：460Ah 电量：41.216KWh（带配重，铁块重量：722KG），带4G模块，BMS-自研,,,,1531,0
F48400C,瑞浦,51.2,400.0,830x522x627,,N/A,N/A,100,16S4P,48,-,型号：F48400C叉车项目： 电芯：瑞浦100Ah 组合方式：16S4P 电压：51.2V 容量：400Ah 电量：20.48KWh。（箱体尺寸：830x522x627mm），带4G模块，带加热功能，BMS-自研。,830.0,522.0,627.0,743,1
F48420BF,EVE,51.2,420.0,1005x630x627,950.0,N/A,N/A,105,16S4P,48,690,型号：F48420BF叉车项目： 电芯：EVE105Ah ，组合方式：16S4P 电压：51.2V 容量：420Ah 电量：21.504KWh，尺寸：（1005*630*627mm）带配重，铁块总量：690kg，总重量：950kg，自研BMS，带4G模块，带加热功能 。,1005.0,630.0,627.0,788,0
F24280Y,EVE,25.6,280.0,619x279x622,295.0,N/A,Crown WT,280,8S1P,24,178,型号：F24280Y叉车项目： 电芯：EVE280Ah 组合方式：8S1P 电压：25.6V 容量：280Ah 电量：7.168KWh。（配重重量178kg，总重量：295KG，箱体尺寸：619 x 279x 622mm）不带加热功能，带4G模块，BMS-自研。（叉车型号：CROWN WT）,619.0,279.0,622.0,223,0
F48560CE,瑞浦,51.2,560.0,990x545x690,700.0,N/A,Toyota 8FBE18/8FBN18/8FBE18/8FBN18,280,16S2P,48,390,"型号：F48560CE叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸：990*545*690mm) 配重390KG，总重量700KG，带加热功能，带4G模块，BMS-自研。（叉车型号：Toyota 8FBE18, 8FBN18；

8FBE18, 8FBN18）",990.0,545.0,690.0,1059,1
F24210A,EVE,25.6,210.0,-,,N/A,N/A,105,8S2P,24,-,型号：F24210A叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.376KWh。,,,,98,0
F48608V,EVE,51.2,608.0,960x840x580,1260.0,N/A,N/A,304,16S2P,48,850,型号：F48608V叉车项目： 电芯：EVELF304 组合方式：16S2P 电压：51.2V 容量：608Ah 电量：31.129KWh。（箱体尺寸：960×840×580mm）带配重，铁块重量：850KG，总重量：1260kg，带4G模块功能，带加热功能，BMS-自研。,960.0,840.0,580.0,1174,0
F80460A,EVE,80.0,460.0,1023x850x782,,N/A,N/A,230,25S2P,80,-,型号：F80460A叉车项目： 电芯：EVE230Ah ，组合方式：25S2P 电压：80V 容量：460Ah 电量：36.8KWh（箱体尺寸：1023*850*782mm）。,1023.0,850.0,782.0,1386,0
