锂电池型号,电芯品牌,电压(V),容量(Ah),尺寸(mm),总重量(kg),模组串并联方式,适用叉车型号,单体电芯容量(Ah),模组配置(串S并P联）,对应铅酸电池电压(V),含配重(kg),电池详情,长(mm),宽(mm),高(mm),锂电池型号编码,电芯品牌编码
F36840R,瑞浦,38.4,840.0,980x530x780,1134.0,N/A,Hyster N35ZDR3,280,12S3P,36,635,"型号：F36840R叉车项目： 电芯：瑞浦280Ah ,组合方式：12S3P 电压：38.4V 容量：840Ah 电量：32.256KWh（箱体最大尺寸：980*530*780mm）配重635KG，总重量：1134kg，带4G模块，无加热功能，BMS-自研。（叉车型号Hyster N35ZDR3）",980.0,530.0,780.0,607,1
F24150Y(A&B箱),瑞浦,25.6,150.0,411.12x231.67x617,318.0,N/A,Combilift WR,150,8S1P,24,-,"型号：F24150Y叉车项目; 电芯：瑞浦150Ah ，组合方式：8S1P, 电压：25.4V ,容量：150Ah ,电量：3.81KWh，AB箱体尺寸：411.12*231.67*617mm，重量318kg，带加热，带4G模块，产品不需要与叉车控制器通讯 ,自研BMS。（叉车型号：Combilift WR）",411.12,231.67,617.0,68,1
F481120B,瑞浦,51.2,1120.0,1035x970x571,1973.0,N/A,N/A,280,16S4P,48,1570,"型号：F481120B叉车项目： 电芯：瑞浦280Ah 组合方式：16S4P 电压：51.2V 容量：1120Ah 电量：57.344KWh。（箱体尺寸：1035*970*571mm）带配重，铁块重量：1570,总重量：1973kg，BMS-自研，带4G模块功能，带加热功能.",1035.0,970.0,571.0,621,1
F36690CP,瑞浦,38.4,690.0,970x396x775,985.0,N/A,Crown RR5725-32,230,12S3P,36,700,"型号：F36690CP叉车项目； 电芯：瑞浦LF230Ah，组合方式：12S3P，电压：38.4V， 容量：690Ah ，电量：26.496KWh，箱体尺寸：970*396*775mm， 配重700KG,总重量：985KG，带4G模块，带加热，放电线接口为Anderson SB350灰色，线长1.3m；显示屏线长3M。冷库设计，-30℃使用， 自研BMS。（叉车型号：Crown RR5725-32）",970.0,396.0,775.0,544,1
F80690D,瑞浦,80.0,690.0,1025x996x784,2435.0,N/A,Hyundai,230,25S3P,80,1890,型号：F80690D叉车项目： 电芯：瑞浦230Ah ，组合方式：25S3P 电压：80V 容量：690Ah 电量：55.2KWh（箱体尺寸：1025*996*784mm）(带配重，配重重量：1890kg）总重量：2435KG，带加热功能，带4G模块，自研BMS，(韩国现代，带通讯协议）。,1025.0,996.0,784.0,1488,1
F36560AT,瑞浦,38.4,560.0,868x760x595,855.0,N/A,Toyota 7FBCU15,280,12S2P,36,490,型号：F36560AT叉车项目： 电芯：瑞普280Ah ，组合方式：12S2P 电压：38.4V 容量：560Ah 电量：21.504KWh（箱体最大尺寸：868*760*595mm）配重490KG，总重量855KG，带4G模块，带加热功能，BMS-自研。（叉车型号Toyota 7FBCU15）,868.0,760.0,595.0,416,1
F80690Q,瑞浦,80.0,690.0,1025x996x784,2090.0,N/A,Hyundai 50B-9,230,25S3P,80,1400,型号：F80690Q叉车项目： 电芯：瑞浦230Ah ，组合方式：25S3P 电压：80V 容量：690Ah 电量：55.2KWh（箱体尺寸：1025*996*784mm）总重量：2090KG，配重1400KG，带加热功能，带4G模块，BMS-自研。(叉车型号：现代50B-9),1025.0,996.0,784.0,1499,1
F24230AE,瑞浦,25.6,230.0,640x200x597,100.0,N/A,Yale MPB045VG,230,8S1P,24,-,型号：F24230AE叉车项目; 电芯：瑞浦230Ah ，组合方式：8S1P； 电压：25.6V； 容量：230Ah； 电量：5.888KWh（箱体尺寸：640*200*597mm）；总重量：100KG，带4G模块，带加热，加顶盖，屏幕线3M，放电插头：Anderson SB175 Gray；自研BMS。（叉车型号：Yale MPB045VG）,640.0,200.0,597.0,162,1
F24230M,瑞浦,25.6,230.0,620x210x568,100.0,N/A,Toyota BT LPE200,230,8S1P,24,0,型号：F24230M叉车项目： 电芯：瑞浦230Ah ，组合方式：8S1P 电压：25.6V 容量：230Ah 电量：5.888KWh（箱体尺寸：620*210*568mm）无配重；总重量：100KG，带4G模块，带加热功能，自研BMS。（叉车型号：TOYOTA BT LPE200）,620.0,210.0,568.0,179,1
F24160G,EVE,25.6,160.0,621x209x627,,N/A,N/A,160,8S1P,24,0,型号：F24160G叉车项目： 电芯：EVELF160 组合方式：8S1P 电压：25.6V 容量：160Ah 电量：4.096KWh（ 621*209*627mm）不带配重，BMS-自研，带加热功能，带4G模块。,621.0,209.0,627.0,75,0
